,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
74,Colonial Homes,https://www.niche.com/places-to-live/n/colonial-homes-atlanta-ga/,"$145,201 ",,,9.0,20.0,20.0,5.0,22.0
75,Cross Creek,https://www.niche.com/places-to-live/n/cross-creek-atlanta-ga/,"$151,729 ","2,041",C,39.0,25.0,17.0,19.0,15.0
76,Custer/McDonough/Guice,https://www.niche.com/places-to-live/n/custer-mcdonough-guice-atlanta-ga/,"$167,795 ","1,257",W,103.0,109.0,75.0,91.0,73.0
77,Deerwood,https://www.niche.com/places-to-live/n/deerwood-atlanta-ga/,"$63,500 ",566,P,28.0,26.0,21.0,19.0,11.0
78,Dixie Hills,https://www.niche.com/places-to-live/n/dixie-hills-atlanta-ga/,"$64,254 ","1,756",J,123.0,175.0,153.0,120.0,133.0
79,Downtown,https://www.niche.com/places-to-live/n/downtown-atlanta-ga/,"$132,456 ","13,411",M,2389.0,2263.0,1823.0,1813.0,2120.0
80,Druid Hills,https://www.niche.com/places-to-live/n/druid-hills-atlanta-ga/,"$549,455 ",,,33.0,49.0,26.0,32.0,44.0
81,East Ardley Road,https://www.niche.com/places-to-live/n/east-ardley-road-atlanta-ga/,"$109,612 ",,,8.0,4.0,5.0,4.0,7.0
82,East Atlanta,https://www.niche.com/places-to-live/n/east-atlanta-atlanta-ga/,"$196,495 ","5,033",W,331.0,317.0,294.0,311.0,254.0
83,East Chastain Park,https://www.niche.com/places-to-live/n/east-chastain-park-atlanta-ga/,"$540,685 ","2,065",B,40.0,35.0,39.0,38.0,58.0
84,East Lake,https://www.niche.com/places-to-live/n/east-lake-atlanta-ga/,"$302,676 ","2,568",O,132.0,135.0,173.0,158.0,116.0
85,Edgewood,https://www.niche.com/places-to-live/n/edgewood-atlanta-ga/,"$246,000 ","3,983",O,500.0,479.0,374.0,451.0,368.0
86,Edmund Park,https://www.niche.com/places-to-live/n/edmund-park-atlanta-ga/,0,,,,,2.0,2.0,2.0
87,Elmco Estates,https://www.niche.com/places-to-live/n/elmco-estates-atlanta-ga/,"$84,300 ",,,10.0,21.0,30.0,17.0,15.0
88,Englewood Manor,https://www.niche.com/places-to-live/n/englewood-manor-atlanta-ga/,"$93,800 ",,,,,,,
89,English Avenue,https://www.niche.com/places-to-live/n/english-avenue-atlanta-ga/,"$145,754 ","3,309",L,306.0,294.0,260.0,283.0,242.0
90,English Park,https://www.niche.com/places-to-live/n/english-park-atlanta-ga/,"$101,300 ",,,12.0,15.0,27.0,23.0,13.0
91,Fairburn,https://www.niche.com/places-to-live/n/fairburn-atlanta-ga/,"$181,339 ",,,20.0,25.0,32.0,25.0,31.0
92,Fairburn Heights,https://www.niche.com/places-to-live/n/fairburn-heights-atlanta-ga/,"$59,424 ","1,138",H,76.0,64.0,74.0,55.0,31.0
93,Fairburn Mays,https://www.niche.com/places-to-live/n/fairburn-mays-atlanta-ga/,"$76,299 ","3,144",H,164.0,124.0,157.0,119.0,93.0
94,Fairburn Road/Wisteria Lane,https://www.niche.com/places-to-live/n/fairburn-road-wisteria-lane-atlanta-ga/,"$90,900 ",,,5.0,5.0,4.0,7.0,6.0
95,Fairburn Tell,https://www.niche.com/places-to-live/n/fairburn-tell-atlanta-ga/,"$214,000 ",,,8.0,5.0,5.0,2.0,4.0
96,Fairway Acres,https://www.niche.com/places-to-live/n/fairway-acres-atlanta-ga/,"$143,700 ",513,P,12.0,6.0,12.0,6.0,6.0
97,Fernleaf,https://www.niche.com/places-to-live/n/fernleaf-atlanta-ga/,"$306,200 ",,,6.0,1.0,4.0,6.0,6.0
98,Florida Heights,https://www.niche.com/places-to-live/n/florida-heights-atlanta-ga/,"$45,001 ","1,242",I,220.0,154.0,126.0,97.0,106.0
99,Fort McPherson,https://www.niche.com/places-to-live/n/fort-mcpherson-atlanta-ga/,"$107,834 ",501,S,4.0,4.0,1.0,2.0,3.0
100,Fort Valley,https://www.niche.com/places-to-live/n/fort-valley-atlanta-ga/,"$51,100 ",,,51.0,46.0,28.0,37.0,15.0
