Neighborhood,Niche URL,Niche Price
Tampa Park,https://www.niche.com/places-to-live/n/tampa-park-atlanta-ga/,0
Garden Hills,https://www.niche.com/places-to-live/n/garden-hills-atlanta-ga/,"$597,268"
Washington Park,https://www.niche.com/places-to-live/n/washington-park-atlanta-ga/,"$98,300"
Hammond Park,https://www.niche.com/places-to-live/n/hammond-park-atlanta-ga/,"$73,450"
Fairburn,https://www.niche.com/places-to-live/n/fairburn-atlanta-ga/,"$181,339"
Harland Terrace,https://www.niche.com/places-to-live/n/harland-terrace-atlanta-ga/,"$43,343"
Betmar LaVilla,https://www.niche.com/places-to-live/n/betmar-lavilla-atlanta-ga/,"$72,600"
The Villages at East Lake,https://www.niche.com/places-to-live/n/the-villages-at-east-lake-atlanta-ga/,"$231,669"
High Point,https://www.niche.com/places-to-live/n/high-point-atlanta-ga/,"$179,200"
Center Hill,https://www.niche.com/places-to-live/n/center-hill-atlanta-ga/,"$63,122"
Loring Heights,https://www.niche.com/places-to-live/n/loring-heights-atlanta-ga/,"$293,614"
Cascade Heights,https://www.niche.com/places-to-live/n/cascade-heights-atlanta-ga/,"$123,860"
Underwood Hills,https://www.niche.com/places-to-live/n/underwood-hills-atlanta-ga/,"$248,795"
Wyngate,https://www.niche.com/places-to-live/n/wyngate-atlanta-ga/,"$1,065,400"
West Paces Ferry/Northside,https://www.niche.com/places-to-live/n/west-paces-ferry-northside-atlanta-ga/,"$981,227"
Harvel Homes Community,https://www.niche.com/places-to-live/n/harvel-homes-community-atlanta-ga/,"$51,500"
Carey Park,https://www.niche.com/places-to-live/n/carey-park-atlanta-ga/,"$22,932"
South River Gardens,https://www.niche.com/places-to-live/n/south-river-gardens-atlanta-ga/,"$101,993"
Brookview Heights,https://www.niche.com/places-to-live/n/brookview-heights-atlanta-ga/,"$117,860"
Joyland,https://www.niche.com/places-to-live/n/joyland-atlanta-ga/,"$179,200"
Bankhead Courts,https://www.niche.com/places-to-live/n/bankhead-courts-atlanta-ga/,0
Deerwood,https://www.niche.com/places-to-live/n/deerwood-atlanta-ga/,"$63,500"
Riverside,https://www.niche.com/places-to-live/n/riverside-atlanta-ga/,"$285,411"
Audobon Forest,https://www.niche.com/places-to-live/n/audobon-forest-atlanta-ga/,"$140,472"
Greenbriar Village,https://www.niche.com/places-to-live/n/greenbriar-village-atlanta-ga/,"$127,800"
English Park,https://www.niche.com/places-to-live/n/english-park-atlanta-ga/,"$101,300"
Chosewood Park,https://www.niche.com/places-to-live/n/chosewood-park-atlanta-ga/,"$39,344"
Rebel Valley Forest,https://www.niche.com/places-to-live/n/rebel-valley-forest-atlanta-ga/,"$70,000"
The Villages at Castleberry Hill,https://www.niche.com/places-to-live/n/the-villages-at-castleberry-hill-atlanta-ga/,"$263,200"
Cabbagetown,https://www.niche.com/places-to-live/n/cabbagetown-atlanta-ga/,"$228,700"
Paces,https://www.niche.com/places-to-live/n/paces-atlanta-ga/,"$841,105"
Audobon Forest West,https://www.niche.com/places-to-live/n/audobon-forest-west-atlanta-ga/,"$182,700"
Atlanta University Center,https://www.niche.com/places-to-live/n/atlanta-university-center-atlanta-ga/,"$118,806"
Ben Hill Acres,https://www.niche.com/places-to-live/n/ben-hill-acres-atlanta-ga/,"$108,700"
Brandon,https://www.niche.com/places-to-live/n/brandon-atlanta-ga/,"$793,093"
Magnum Manor,https://www.niche.com/places-to-live/n/magnum-manor-atlanta-ga/,"$109,612"
Blair Villa/Poole Creek,https://www.niche.com/places-to-live/n/blair-villa-poole-creek-atlanta-ga/,"$95,700"
Ben Hill Terrace,https://www.niche.com/places-to-live/n/ben-hill-terrace-atlanta-ga/,"$193,900"
